,img_1,img_2,similarity
0,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_10805_58209_12671.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_10805_58209_12671.tif,1
1,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_12114_61048_2773.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_12114_61048_2773.tif,1
2,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_12506_57650_9853.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_12506_57650_9853.tif,1
3,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_1253_1253_16357.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_1253_1253_16357.tif,1
4,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_13011_57415_9824.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r180_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_13011_57415_9824.tif,1
5,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_1305_1305_6620.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_1305_1305_6620.tif,1
6,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_1527_1527_4027.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_1527_1527_4027.tif,1
7,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_21733_53701_976.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_21733_53701_976.tif,1
8,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_23412_23412_4650.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r270_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_23412_23412_4650.tif,1
9,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_25554_25554_3546.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fTB_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_25554_25554_3546.tif,1
10,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_26147_26147_2621.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\r90_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_26147_26147_2621.tif,1
11,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\White Space\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_3282_62922_1217.tif,C:/Niranjan/Ashoka/Research/TNBC/SimilarityNet/Data/Augmented\fLR_20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_3282_62922_1217.tif,1
