,img_1,img_2,similarity
0,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_15310_15310_9763.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_322_138-10_126-06F_Biopsy_TNBC_HnE_40x__cropped_31181_31181_18005.tif,0
1,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_15310_15310_9763.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_52_69-15_G-15-678-A_Biopsy_ER_HnE_40X_cropped_13262_13262_14552.tif,0
2,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_28999_28999_19095.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_330_651-15_G-15-4390_Biopsy_TNBC_HnE_40x_cropped_26377_26377_6155.tif,0
3,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_28999_28999_19095.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_2_518-16_G-18-285_Biopsy_ER_HnE_40X_cropped_8341_16682_1636.tif,0
4,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_31703_31703_3902.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_17185_17185_2163.tif,0
5,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_31703_31703_3902.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_322_138-10_126-06F_Biopsy_TNBC_HnE_40x__cropped_17294_17294_16421.tif,0
6,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_33094_33094_7665.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_11684_11684_18227.tif,0
7,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_33094_33094_7665.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_12695_12695_4988.tif,0
8,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_34170_34170_1399.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_322_138-10_126-06F_Biopsy_TNBC_HnE_40x__cropped_17294_17294_16421.tif,0
9,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_34170_34170_1399.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_543_355-18_898-18_Biopsy_TNBC_HnE_40X_cropped_22853_22853_15562.tif,0
10,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_34177_34177_14363.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_541_528-18_1412-18-A_Biopsy_TNBC_HnE_40X_cropped_6710_13421_10358.tif,0
11,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_100_401-15_4350-15-2_Biopsy_ER_HnE_40X_cropped_34177_34177_14363.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_6971_6971_111.tif,0
12,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_53974_53974_8826.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_543_355-18_898-18_Biopsy_TNBC_HnE_40X_cropped_22853_22853_15562.tif,0
13,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_106_148-14_G-13-223-B_Biopsy_ER_HnE_40X_cropped_53974_53974_8826.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_52_69-15_G-15-678-A_Biopsy_ER_HnE_40X_cropped_15338_15338_10453.tif,0
14,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_116_375-14_3366-16-A_Biopsy_ER_HnE_40X_cropped_26988_26988_10611.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_330_651-15_G-15-4390_Biopsy_TNBC_HnE_40x_cropped_28791_28791_16914.tif,0
15,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_116_375-14_3366-16-A_Biopsy_ER_HnE_40X_cropped_26988_26988_10611.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_381_349-13_1977-13-A_Biopsy_TNBC_HnE_40X_cropped_36061_5867_8159.tif,0
16,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_17773_17773_9176.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-296-284_12-G_12_2412_E-TNBC-Surgery-HnE-40X_cropped_27861_27861_17744.tif,0
17,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_17773_17773_9176.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_27217_27217_6979.tif,0
18,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_20615_20615_5291.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_541_528-18_1412-18-A_Biopsy_TNBC_HnE_40X_cropped_6710_13421_10358.tif,0
19,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_20615_20615_5291.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-302-571_15-2203_15B-HER2-Surgery-HnE-40X_cropped_108695_15341_16534.tif,0
20,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_21934_21934_2785.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_9861_9861_5359.tif,0
21,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_21934_21934_2785.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-332-88_13-G_13_704_D-TNBC-Surgery-HnE-40X_cropped_32357_32357_16850.tif,0
22,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_21972_21972_7054.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20200220-296-284_12-G_12_2412_E-TNBC-Surgery-HnE-40X_cropped_11832_11832_9847.tif,0
23,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_21972_21972_7054.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_52_69-15_G-15-678-A_Biopsy_ER_HnE_40X_cropped_14406_14406_14962.tif,0
24,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\Tumour\20190610_11_607-16_G-16-3111A_Biopsy_ER_HnE_40X_cropped_24566_24566_10270.tif,C:/Niranjan/Ashoka/Research/TNBC/Data/224Labelledv0.1\TILs\20190610_442_700-17_857-18-B_Biopsy_ER_HnE_40X_cropped_9861_9861_5359.tif,0
